date,platform,total_fee,total_transport_cost,total_partner_payout
2022-03-02,Bol,72.21,7,94.21
2022-03-03,Ebay,26.01,6.5,3.9
2022-03-05,Amazon,51.54,7,103.48
2022-03-05,Bol,33.97,3.5,95.74
2022-03-08,Bol,21.35,3.5,22.25
2022-03-09,Bol,31.73,3.5,85.31
2022-03-10,Bol,42.14,3.5,115.15
2022-03-13,Bol,25.11,3.5,22.83
2022-03-15,Bva NL,15.11,3.5,5.16
2022-03-16,Ebay,48.81,5,105.65
2022-03-17,Bol,35.46,4,49.71
2022-03-20,Ebay,40.81,5,-7.58
2022-03-21,Bol,78.36,7,147.83
2022-03-23,Ebay,16.9,5,15.56
2022-03-23,Bol,203.54,7,822.6
2022-03-23,Bva NL,50.44,3.5,114.54
2022-03-24,Amazon,69.92,13.5,85.91
2022-03-25,Amazon,22.28,5,21.84
2022-03-25,Bol,44.45,7,8.43
2022-03-29,Bol,28.8,3.5,21.88
2022-03-31,Bol,41.19,7,33
2022-04-01,Bol,84.5,7.5,237.31
2022-04-01,Blokker,22.48,3.5,21.29
2022-04-02,Bol,19.8,4,-10.36
2022-04-03,Kaufland,42.61,5,79.94
2022-04-05,Amazon,63.79,5,109.49
2022-04-06,Bol,15.95,4,10.36
2022-04-06,Bva NL,15.74,3.5,-4.03
2022-04-08,Ebay,28.54,5,9.79
2022-04-10,Ebay,72.5,5,158.67
2022-04-11,Bva NL,63.24,7,64.3
2022-04-12,Amazon,36.33,5,29.14
2022-04-12,Bol,85.89,10.5,190.92
2022-04-15,Bol,51.98,3.5,87.13
2022-04-16,Amazon,21.07,6.5,18
2022-04-16,Bol,52.82,4,15.58
2022-04-16,Ebay,28.51,5,33.22
2022-04-16,Bva NL,22.9,3.5,-3
2022-04-17,Bol,245.63,7.5,1231.7
2022-04-17,Kaufland,39.03,5,84.1
2022-04-18,Bol,112.93,10.5,135.78
2022-04-18,Bva NL,26.18,3.5,40.52
2022-04-19,Bol,51.38,8,18.29
2022-04-20,Bol,31.08,3.5,28.8
2022-04-22,Amazon,32.09,5,38.72
2022-04-22,Bol,47.63,3.5,31.09
2022-04-24,Bol,78.84,7,156.94
2022-04-26,Bva NL,12.05,3.5,1.99
2022-04-26,Bol,40.04,3.5,59.85
2022-04-27,Amazon,66.01,6.5,158.82
2022-04-28,Bol,35.05,3.5,3.01
2022-04-30,Amazon,67.72,5,201.81
2022-04-30,Kaufland,28.28,5,20.96
2022-05-01,Amazon,27.69,7,12.65
2022-05-01,Bol,91.92,7,195.45
2022-05-02,Bol,41.73,3.5,94.51
2022-05-03,Bva NL,14.72,4,15.2
2022-05-04,Bol,36.5,7.5,21.86
2022-05-05,Ebay,143.59,6.5,411.31
2022-05-05,Bol,37.82,4,60.49
2022-05-07,Ebay,36.85,10,0.58
2022-05-08,Bol,102.32,7,300.75
